,,,upper bound,lower bound,,slow ema,fast ema,,,% return
1h,20000,15,0.996,1.004,7,69,9,219,219,197.999358538266
1h,20000,15,0.996,1.004,7,84,5,234,234,197.994445398812
1h,20000,15,0.996,1.004,7,64,9,223,223,197.965277557236
1h,20000,15,0.996,1.004,7,68,6,254,254,197.714853197522
1h,20000,15,0.996,1.004,7,98,40,116,116,197.693185732527
1h,20000,15,0.996,1.004,7,83,7,215,215,197.347774681374
1h,20000,15,0.996,1.004,7,73,4,273,273,197.055573363097
1h,20000,15,0.996,1.004,7,64,10,216,216,197.005858916991
1h,20000,15,0.996,1.004,7,84,6,223,223,196.865370030835
1h,20000,15,0.996,1.004,7,72,8,217,217,196.809390362292
1h,20000,15,0.996,1.004,7,52,14,219,219,196.806890239689
1h,20000,15,0.996,1.004,7,66,7,243,243,196.697188182759
1h,20000,15,0.996,1.004,7,80,7,214,214,196.687966179914
1h,20000,15,0.996,1.004,7,80,1,393,393,196.532367952221
1h,20000,15,0.996,1.004,7,91,4,243,243,196.497245292057
1h,20000,15,0.996,1.004,7,55,13,217,217,196.375730016135
1h,20000,15,0.996,1.004,7,87,6,217,217,196.329546042882
1h,20000,15,0.996,1.004,7,97,22,133,133,196.231243474409
1h,20000,15,0.996,1.004,7,79,4,261,261,196.196619943228
1h,20000,15,0.996,1.004,7,64,12,203,203,196.178932644331
1h,20000,15,0.996,1.004,7,76,3,296,296,196.1380076681
1h,20000,15,0.996,1.004,7,65,7,248,248,195.508967583046
1h,20000,15,0.996,1.004,7,59,13,203,203,195.283564207639
1h,20000,15,0.996,1.004,7,98,8,186,186,195.255716312882
1h,20000,15,0.996,1.004,7,87,7,209,209,195.221971094919
1h,20000,15,0.996,1.004,7,77,3,292,292,195.025320523889
1h,20000,15,0.996,1.004,7,61,12,205,205,194.965116177281
1h,20000,15,0.996,1.004,7,82,1,381,381,194.679115473024
1h,20000,15,0.996,1.004,7,98,21,132,132,194.632331395899
1h,20000,15,0.996,1.004,7,96,9,177,177,194.599128992739
1h,20000,15,0.996,1.004,7,90,2,311,311,194.477530932048
1h,20000,15,0.996,1.004,7,60,13,200,200,194.428801772114
1h,20000,15,0.996,1.004,7,72,3,295,295,194.381262776909
1h,20000,15,0.996,1.004,7,71,8,218,218,194.198936351286
1h,20000,15,0.996,1.004,7,91,23,136,136,194.14871102437
1h,20000,15,0.996,1.004,7,80,5,244,244,194.006323431868
